,word,definition,grouping
1,abash,to make ashamed,verb
2,abate,to put an end to,verb
3,abbess,a female superior or governess of a nunnery,noun
4,abbey,a monastery or society of people,noun
5,abbot,the superior or head of an abbey or monastery,noun
6,abbreviate,to make shorter,verb
7,abdicate,"to surrender, renounce or relinquish",verb
8,abdomen,the belly/stomach,noun
9,abduct,to take away secretly by force,verb
10,abed,in bed,verb
11,aberrant,straying from the right or normal way,verb
12,abet,"to assist or encourage by aid, especially in crime",verb
13,abeyance,temporary inactivity,noun
14,abhor,to loath,verb
15,abide,to wait for,verb
16,abject,"to cast off or down, to abase",verb
17,abjure,to renounce upon oath,verb
18,abnegate,to deny (oneself something),verb
19,abnormal,not conforming to rule or system,adjective
20,abominable,"very hateful, detestable",adjective
21,abomination,anything greatly disliked or abhorred,noun
22,aboriginal,original or indigenous to a place,adjective
23,abort,"to miscarry, to bring forth something prematurely",verb
24,abortive,unsuccessful,adjective
25,abound,"to be plentiful, to be very prevalent, to overflow",verb
26,aboveboard,"in open sight, without concealment, or deception",adjective
27,abrade,to rub or wear away,verb
28,abrasive,rough enough to wear away the outer surface,adjective
29,abridge,to shorten in duration,verb
30,abrogate,to abolish by authoritative action,verb
31,abscess,to form such a collection of pus,verb
32,abscission,the act of cutting off,noun
33,abscond,to depart secretly,verb
34,absence,a state of being absent,noun
35,absolute,"free from imperfection, complete",adjective
36,absolve,to set free from an obligation,verb
37,abstain,refrain from (something),verb
38,abstemious,restraint especially in the consumption of food or alcohol,adjective
39,abstinence,voluntary forbearance esp. from indulgence of an appetite,noun
40,abstract,"to separate, to remove, to take away",verb
41,abstruse,difficult to comprehend,adjective
42,abundant,"fully sufficient, in great quantity",adjective
43,abusive,treating badly or injuriously,adjective
44,abut,"to touch by means of a mutual border, to meet",verb
45,abysmal,"extremely hopeless, bad, or severe",adjective
46,abyss,an immeasurably deep gulf or great space,noun
47,accede,"(obsolete) to approach, to arrive, to come forward",verb
48,accentuate,to pronounce with an accent or vocal stress,verb
49,access,to gain or obtain access to,verb
50,accession,to make a record of (additions to a collection),verb
51,accessory,"aiding in a secondary way, being additional,",adjective
52,acclaim,applaud,verb
53,acclimate,to habituate to a climate not native,verb
54,acclivity,"a slope or inclination of the earth, as the side of a hill",noun
55,accolade,to embrace or kiss in salutation,verb
56,accommodate,"to adapt, as, to accommodate ourselves to circumstances",verb
57,accompaniment,that which gives support or adds to the background,noun
58,accompany,to perform an accompanying part or parts in a composition,verb
59,accomplice,"partner in activity, usually crime",noun
60,accomplish,to finish successfully,verb
61,accord,"to make to agree or correspond, to suit one thing to another",verb
62,accordion,"to fold up, in the manner of an accordion",verb
63,accost,to approach and speak to boldly or aggressively,verb
64,account,"to compute, to count",verb
65,accouter,to furnish with dress or equipments,verb
66,accouterments,"dress, trappings, equipment",noun
67,accredit,"to put or bring into credit, to invest with credit",verb
68,accretion,growth by slow buildup,noun
69,accrue,"to happen or result as a natural growth, addition",verb
70,acculturation,adopting cultural elements of another culture,noun
71,accumulate,"to heap up in a mass, to collect",verb
72,accurse,to devote to destruction,verb
73,accusation,the act of with a crime or with a lighter offense,noun
74,accuse,"to find fault with, to blame",verb
75,accustom,"to make familiar by use, to cause to accept",verb
76,acerbic,"acid in temper, mood or tone",adjective
77,acetate,any salt or ester of acetic acid,noun
78,acetic,"of, pertaining to, or producing vinegar",adjective
79,achillean,invincible,adjective
80,achromatic,without colour,adjective
81,acidulous,"slightly sour, sub-acid",adjective
82,acknowledge,"to admit the knowledge of, to recognize as a fact or truth",verb
83,acknowledgment,"the act of acknowledging, admission",noun
84,acme,"the top or highest point, pinnacle, culmination",noun
85,acoustic,designed to carry sound or to aid in hearing,adjective
86,acquaint,to make familiar,verb
87,acquiesce,to rest satisfied,verb
88,acquire,to get,verb
89,acquisitive,acquired,adjective
90,acquit,"to declare or find not guilty, innocent",verb
91,acreage,"size, as measured in acres",noun
92,acrid,"sharp and harsh, or bitter and not to the taste, pungent",adjective
93,acrimonious,"of or pertaining to words, arguments, quarrels",adjective
94,acrimony,"bitterness or sharpness of manner, speech, temper",noun
95,acrophobia,fear of heights,noun
96,actionable,affording grounds for legal action,adjective
97,actuality,"the state of existing, existence",noun
98,actuarial,of or pertaining to actuaries,adjective
99,actuary,"registrar, clerk",noun
100,acuity,"sharpness or acuteness, as of a needle, wit, etc",noun
101,acumen,"quickness of perception or discernment, penetration of mind",noun
102,acute,sharp,adjective
103,ad hoc,specifically for,adjective
104,ad infinitum,to infinity,adjective
105,adage,"an old saying, which has obtained credit by long use",noun
106,adamant,"resistant to reason, determined, inflexible",adjective
107,adapt,"to make suitable, to make to correspond, to fit or suit",verb
108,addendum,an addition or change,noun
109,addle,to make or become confused,verb
110,adduce,to cite (as proof),verb
111,adept,"well skilled, completely versed, thoroughly proficient",adjective
112,adhere,"to stick fast or cleave, to become joined or united",verb
113,adhesion,the ability of a substance to stick to an unlike substance,noun
114,adieu,"a farewell, a goodbye, especially a fond farewell",noun
115,adjacent,"close, or contiguous, neighboring, bordering on",adjective
116,adjourn,to postpone,verb
117,adjudge,to declare to be,verb
118,adjudicate,to settle a legal case or other dispute,verb
119,adjunct,attached to another in a dependent or subordinate position,noun
120,adjuration,a grave warning,noun
121,adjutant,a military officer,adjective
122,administrator,"one who administers affairs, one who directs or manages",noun
123,admissible,"accepted or allowed, acceptable",adjective
124,admittance,the act of admitting,noun
125,admonish,"to warn of a fault, to reprove gently, but seriously",verb
126,ado,"to do, in doing, as, there is nothing ado",noun
127,adoration,an act of religious worship,noun
128,adorn,to decorate,verb
129,adroit,dexterous,adjective
130,adulation,"flattery, fulsome praise",noun
131,adulterate,"to make impure by adding improper, or inferior ingredients",verb
132,adumbrate,to foreshadow vaguely,verb
133,advent,"coming, arrival",noun
134,adventitious,"from an external source, not innate or inherent",adjective
135,adversary,an enemy,noun
